, auto_rpm = 420.643, auto_npackets = 107, prev_frac_packet = 0.481329
, auto_rpm = 420.981, auto_npackets = 107, prev_frac_packet = 0.876344
, auto_rpm = 421.005, auto_npackets = 108, prev_frac_packet = 0.265135
, auto_rpm = 419.991, auto_npackets = 107, prev_frac_packet = 0.913312
, auto_rpm = 421.101, auto_npackets = 108, prev_frac_packet = 0.277592
, auto_rpm = 420.257, auto_npackets = 107, prev_frac_packet = 0.857602
, auto_rpm = 420.26, auto_npackets = 108, prev_frac_packet = 0.436735
, auto_rpm = 420.018, auto_npackets = 108, prev_frac_packet = 0.0778786
, auto_rpm = 419.574, auto_npackets = 107, prev_frac_packet = 0.832938
, auto_rpm = 420.7, auto_npackets = 108, prev_frac_packet = 0.299694
, auto_rpm = 420.166, auto_npackets = 107, prev_frac_packet = 0.902868
, auto_rpm = 420.975, auto_npackets = 108, prev_frac_packet = 0.299312
, auto_rpm = 420.864, auto_npackets = 107, prev_frac_packet = 0.72412
, auto_rpm = 420.039, auto_npackets = 108, prev_frac_packet = 0.359801
, auto_rpm = 421.116, auto_npackets = 107, prev_frac_packet = 0.720189
, auto_rpm = 420.028, auto_npackets = 108, prev_frac_packet = 0.358738
, auto_rpm = 420.671, auto_npackets = 107, prev_frac_packet = 0.8327
, auto_rpm = 420.129, auto_npackets = 108, prev_frac_packet = 0.445458
, auto_rpm = 420.468, auto_npackets = 107, prev_frac_packet = 0.971335
, auto_rpm = 419.997, auto_npackets = 108, prev_frac_packet = 0.617854
, auto_rpm = 420.29, auto_npackets = 108, prev_frac_packet = 0.189382
, auto_rpm = 419.314, auto_npackets = 108, prev_frac_packet = 0.0112716
, auto_rpm = 420.458, auto_npackets = 107, prev_frac_packet = 0.539711
, auto_rpm = 419.575, auto_npackets = 108, prev_frac_packet = 0.294414
, auto_rpm = 420.348, auto_npackets = 107, prev_frac_packet = 0.851002
, auto_rpm = 419.841, auto_npackets = 108, prev_frac_packet = 0.537465
, auto_rpm = 420.321, auto_npackets = 108, prev_frac_packet = 0.100909
, auto_rpm = 419.966, auto_npackets = 107, prev_frac_packet = 0.755488
, auto_rpm = 420.612, auto_npackets = 108, prev_frac_packet = 0.244592
, auto_rpm = 420.349, auto_npackets = 107, prev_frac_packet = 0.800893
, auto_rpm = 420.41, auto_npackets = 108, prev_frac_packet = 0.341739
, auto_rpm = 420.812, auto_npackets = 107, prev_frac_packet = 0.779712
, auto_rpm = 419.799, auto_npackets = 108, prev_frac_packet = 0.477029
, auto_rpm = 420.821, auto_npackets = 107, prev_frac_packet = 0.912892
, auto_rpm = 419.176, auto_npackets = 108, prev_frac_packet = 0.770284
, auto_rpm = 420.161, auto_npackets = 108, prev_frac_packet = 0.374772
, auto_rpm = 419.626, auto_npackets = 108, prev_frac_packet = 0.116498
, auto_rpm = 419.375, auto_npackets = 107, prev_frac_packet = 0.922624
, auto_rpm = 419.935, auto_npackets = 108, prev_frac_packet = 0.585084
, auto_rpm = 419.789, auto_npackets = 108, prev_frac_packet = 0.284944
, auto_rpm = 419.982, auto_npackets = 107, prev_frac_packet = 0.935385
, auto_rpm = 420.244, auto_npackets = 108, prev_frac_packet = 0.518786
, auto_rpm = 419.887, auto_npackets = 108, prev_frac_packet = 0.193598
, auto_rpm = 420.119, auto_npackets = 107, prev_frac_packet = 0.808811
, auto_rpm = 420.148, auto_npackets = 108, prev_frac_packet = 0.416721
, auto_rpm = 419.629, auto_npackets = 108, prev_frac_packet = 0.157678
, auto_rpm = 419.756, auto_npackets = 107, prev_frac_packet = 0.866148
, auto_rpm = 420.153, auto_npackets = 108, prev_frac_packet = 0.47275
